 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.316                  4.242                  0.694              
   950.000                  3.229                  4.056                  0.870              
   900.000                 -0.329                  3.207                  0.738              
   850.000                 -3.701                  2.258                  0.685              
   800.000                 -7.167                  1.508                  0.590              
   750.000                -10.787                  0.898                  0.469              
   700.000                -14.604                  0.484                  0.368              
   650.000                -18.891                  0.256                  0.293              
   600.000                -23.726                  0.137                  0.246              
   550.000                -29.143                  0.078                  0.233              
   500.000                -35.125                  0.047                  0.276              
   450.000                -41.680                  0.029                  0.415              
   400.000                -48.934                  0.019                  0.594              
   350.000                -57.073                  0.015                  0.734              
   300.000                -66.143                  0.009                  0.958              
   250.000                -73.180                  0.004                  1.023              
   200.000                -70.166                  0.001                  0.181              
   150.000                -70.825                  0.001                  0.127              
   100.000                -69.640                  0.001                  0.068              
    80.000                -66.532                  0.001                  0.041              
    60.000                -59.047                  0.001                  0.014              
    40.000                -49.173                  0.001                  0.004              
    30.000                -41.477                  0.001                  0.002              
    25.000                -26.329                  0.001                  0.000              
