  N levels =   24          CBMF=    21.531     SST=    6.49 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.005       2.993371     0.048    0.00       1.068
    950.0    -1.092       2.833838     0.051    0.00       1.479
    900.0    -4.875       2.011016     0.053    0.00       1.516
    850.0    -8.429       1.339236     0.056    0.00       1.541
    800.0   -12.075       0.841276     0.057    0.00       1.614
    750.0   -15.850       0.467779     0.059    0.00       1.594
    700.0   -19.889       0.251072     0.060    0.00       1.506
    650.0   -24.365       0.122693     0.061    0.00       1.380
    600.0   -29.233       0.056390     0.063    0.00       1.210
    550.0   -34.603       0.025250     0.066    0.00       0.879
    500.0   -40.646       0.019630     0.069    0.00       0.759
    450.0   -47.310       0.016643     0.073    0.00       0.741
    400.0   -54.625       0.014193     0.077    0.00       0.649
    350.0   -62.709       0.013397     0.085    0.00       0.605
    300.0   -71.294       0.004480     0.096    0.00       0.301
    250.0   -74.964       0.003054     0.117    0.00       0.207
    200.0   -73.588       0.001000     0.153    0.00       0.116
    150.0   -74.142       0.001000     0.202    0.00       0.036
    100.0   -72.274       0.001000     0.405    0.00      -0.004
     80.0   -68.799       0.001000     0.755    0.00      -0.005
     60.0   -61.047       0.001000     2.042    0.00      -0.015
     40.0   -50.757       0.001000     5.238    0.00      -0.027
     30.0   -42.487       0.001000     8.440    0.00      -0.038
     25.0   -26.080       0.001000    10.124    0.00      -0.060
