 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.921                  7.556                  0.709              
   950.000                 10.776                  7.351                  0.886              
   900.000                  7.931                  5.410                  0.747              
   850.000                  4.670                  4.128                  0.692              
   800.000                  1.383                  3.059                  0.611              
   750.000                 -2.069                  2.093                  0.529              
   700.000                 -5.209                  1.268                  0.412              
   650.000                 -8.730                  0.759                  0.318              
   600.000                -12.797                  0.459                  0.255              
   550.000                -17.624                  0.292                  0.229              
   500.000                -23.317                  0.195                  0.243              
   450.000                -29.840                  0.126                  0.316              
   400.000                -37.134                  0.075                  0.475              
   350.000                -45.361                  0.047                  0.753              
   300.000                -54.724                  0.025                  0.936              
   250.000                -65.456                  0.013                  1.002              
   200.000                -63.700                  0.001                  0.131              
   150.000                -65.498                  0.001                  0.076              
   100.000                -67.201                  0.001                  0.060              
    80.000                -67.561                  0.001                  0.049              
    60.000                -66.071                  0.001                  0.029              
    40.000                -65.233                  0.001                  0.016              
    30.000                -67.813                  0.001                  0.015              
    25.000                -77.272                  0.001                  0.044              
