 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.401                  4.206                  0.740              
   950.000                  3.306                  4.013                  0.919              
   900.000                 -0.349                  3.126                  0.778              
   850.000                 -3.758                  2.201                  0.733              
   800.000                 -7.170                  1.434                  0.659              
   750.000                -10.644                  0.834                  0.576              
   700.000                -14.381                  0.496                  0.508              
   650.000                -18.658                  0.318                  0.453              
   600.000                -23.415                  0.199                  0.409              
   550.000                -28.738                  0.118                  0.386              
   500.000                -34.812                  0.112                  0.395              
   450.000                -41.673                  0.112                  0.451              
   400.000                -49.098                  0.065                  0.503              
   350.000                -57.295                  0.025                  0.549              
   300.000                -66.139                  0.010                  0.616              
   250.000                -73.004                  0.004                  0.743              
   200.000                -69.699                  0.001                  0.453              
   150.000                -69.954                  0.001                  0.394              
   100.000                -68.572                  0.001                  0.228              
    80.000                -65.591                  0.001                  0.023              
    60.000                -58.436                  0.001                  0.007              
    40.000                -48.849                  0.001                  0.002              
    30.000                -41.309                  0.001                  0.001              
    25.000                -26.383                  0.001                  0.000              
