 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 16.571                  8.678                  0.744              
   950.000                 12.415                  8.457                  0.927              
   900.000                  9.798                  6.275                  0.760              
   850.000                  6.646                  4.884                  0.700              
   800.000                  3.471                  3.658                  0.629              
   750.000                  0.153                  2.608                  0.566              
   700.000                 -3.324                  1.712                  0.503              
   650.000                 -6.634                  0.999                  0.410              
   600.000                -10.311                  0.556                  0.339              
   550.000                -14.613                  0.327                  0.302              
   500.000                -19.879                  0.258                  0.311              
   450.000                -26.376                  0.263                  0.388              
   400.000                -33.840                  0.155                  0.518              
   350.000                -42.191                  0.091                  0.718              
   300.000                -51.635                  0.050                  0.978              
   250.000                -62.472                  0.019                  1.062              
   200.000                -70.091                  0.003                  0.486              
   150.000                -69.727                  0.001                  0.175              
   100.000                -70.648                  0.001                  0.082              
    80.000                -70.471                  0.001                  0.065              
    60.000                -67.403                  0.001                  0.037              
    40.000                -63.325                  0.001                  0.016              
    30.000                -62.090                  0.001                  0.010              
    25.000                -63.782                  0.001                  0.008              
