  N levels =   24          CBMF=    10.119     SST=   24.33 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    21.598      12.622126     0.048    0.00       1.991
    950.0    17.396      12.381974     0.051    0.00       1.830
    900.0    15.401       9.545322     0.053    0.00       1.923
    850.0    12.691       7.824783     0.056    0.00       1.674
    800.0    10.035       6.250603     0.057    0.00       1.559
    750.0     7.236       4.900118     0.059    0.00       1.493
    700.0     4.152       3.902094     0.060    0.00       1.450
    650.0     0.609       3.128585     0.061    0.00       1.466
    600.0    -3.420       2.367145     0.063    0.00       1.512
    550.0    -7.331       1.665681     0.066    0.00       1.591
    500.0   -11.963       1.178598     0.069    0.00       1.771
    450.0   -17.540       0.818941     0.073    0.00       1.951
    400.0   -24.027       0.397851     0.077    0.00       1.885
    350.0   -31.743       0.179386     0.085    0.00       1.682
    300.0   -40.946       0.100163     0.096    0.00       1.475
    250.0   -51.867       0.049341     0.117    0.00       1.160
    200.0   -64.869       0.017204     0.153    0.00       0.769
    150.0   -70.235       0.001153     0.202    0.00       0.181
    100.0   -69.026       0.001000     0.405    0.00      -0.082
     80.0   -66.862       0.001000     0.755    0.00      -0.126
     60.0   -59.992       0.001000     2.042    0.00      -0.263
     40.0   -49.763       0.001000     5.238    0.00      -0.468
     30.0   -41.612       0.001000     8.440    0.00      -0.631
     25.0   -26.664       0.001000    10.124    0.00      -0.930
