 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.989                  2.990                  0.636              
   950.000                 -1.108                  2.830                  0.809              
   900.000                 -4.892                  2.009                  0.729              
   850.000                 -8.450                  1.343                  0.640              
   800.000                -12.109                  0.845                  0.531              
   750.000                -15.881                  0.451                  0.394              
   700.000                -19.885                  0.237                  0.280              
   650.000                -24.353                  0.127                  0.208              
   600.000                -29.254                  0.062                  0.167              
   550.000                -34.631                  0.025                  0.134              
   500.000                -40.668                  0.020                  0.170              
   450.000                -47.332                  0.017                  0.281              
   400.000                -54.645                  0.014                  0.487              
   350.000                -62.727                  0.013                  0.907              
   300.000                -71.310                  0.004                  0.996              
   250.000                -74.966                  0.003                  1.004              
   200.000                -73.593                  0.001                  0.186              
   150.000                -74.148                  0.001                  0.151              
   100.000                -72.279                  0.001                  0.078              
    80.000                -68.804                  0.001                  0.039              
    60.000                -61.052                  0.001                  0.011              
    40.000                -50.760                  0.001                  0.002              
    30.000                -42.489                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
