 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.500                  7.315                  0.701              
   950.000                 10.360                  7.107                  0.877              
   900.000                  7.453                  5.213                  0.742              
   850.000                  4.156                  3.955                  0.683              
   800.000                  0.876                  2.876                  0.594              
   750.000                 -2.534                  1.929                  0.505              
   700.000                 -5.690                  1.161                  0.381              
   650.000                 -9.216                  0.691                  0.282              
   600.000                -13.297                  0.421                  0.215              
   550.000                -18.168                  0.280                  0.185              
   500.000                -23.949                  0.202                  0.195              
   450.000                -30.553                  0.135                  0.261              
   400.000                -37.914                  0.085                  0.422              
   350.000                -46.154                  0.052                  0.698              
   300.000                -55.514                  0.032                  0.846              
   250.000                -66.163                  0.012                  0.998              
   200.000                -62.264                  0.001                  0.072              
   150.000                -63.813                  0.001                  0.052              
   100.000                -65.878                  0.001                  0.044              
    80.000                -66.609                  0.001                  0.037              
    60.000                -65.471                  0.001                  0.023              
    40.000                -64.933                  0.001                  0.013              
    30.000                -67.682                  0.001                  0.014              
    25.000                -77.306                  0.001                  0.046              
