 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.967                  2.984                  0.663              
   950.000                 -1.131                  2.824                  0.840              
   900.000                 -4.917                  2.009                  0.746              
   850.000                 -8.471                  1.343                  0.667              
   800.000                -12.130                  0.852                  0.569              
   750.000                -15.928                  0.462                  0.448              
   700.000                -19.955                  0.217                  0.349              
   650.000                -24.358                  0.109                  0.285              
   600.000                -29.237                  0.060                  0.243              
   550.000                -34.641                  0.025                  0.208              
   500.000                -40.681                  0.019                  0.230              
   450.000                -47.347                  0.016                  0.313              
   400.000                -54.663                  0.014                  0.466              
   350.000                -62.749                  0.013                  0.807              
   300.000                -71.334                  0.004                  0.866              
   250.000                -74.971                  0.003                  0.901              
   200.000                -73.600                  0.001                  0.281              
   150.000                -74.155                  0.001                  0.236              
   100.000                -72.286                  0.001                  0.138              
    80.000                -68.810                  0.001                  0.032              
    60.000                -61.058                  0.001                  0.009              
    40.000                -50.766                  0.001                  0.002              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
