  N levels =   24          CBMF=    21.029     SST=    7.98 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.848       3.405491     0.048    0.00       1.039
    950.0     0.760       3.229535     0.051    0.00       1.387
    900.0    -3.073       2.413045     0.053    0.00       1.415
    850.0    -6.619       1.669005     0.056    0.00       1.501
    800.0   -10.200       1.052374     0.057    0.00       1.627
    750.0   -13.842       0.535609     0.059    0.00       1.614
    700.0   -17.709       0.295977     0.060    0.00       1.495
    650.0   -22.111       0.131769     0.061    0.00       1.328
    600.0   -26.870       0.084545     0.063    0.00       1.113
    550.0   -32.258       0.045319     0.066    0.00       0.854
    500.0   -38.228       0.021800     0.069    0.00       0.708
    450.0   -44.904       0.024289     0.073    0.00       0.709
    400.0   -52.324       0.026704     0.077    0.00       0.579
    350.0   -60.573       0.017713     0.085    0.00       0.487
    300.0   -69.456       0.005884     0.096    0.00       0.225
    250.0   -74.145       0.003469     0.117    0.00       0.054
    200.0   -72.868       0.001000     0.153    0.00       0.024
    150.0   -73.907       0.001000     0.202    0.00       0.001
    100.0   -72.998       0.001000     0.405    0.00      -0.000
     80.0   -70.439       0.001000     0.755    0.00      -0.005
     60.0   -64.018       0.001000     2.042    0.00      -0.018
     40.0   -55.396       0.001000     5.238    0.00      -0.035
     30.0   -48.939       0.001000     8.440    0.00      -0.048
     25.0   -37.504       0.001000    10.124    0.00      -0.072
