 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.848                  3.405                  0.646              
   950.000                  0.760                  3.230                  0.815              
   900.000                 -3.073                  2.413                  0.745              
   850.000                 -6.619                  1.669                  0.670              
   800.000                -10.200                  1.052                  0.554              
   750.000                -13.842                  0.536                  0.405              
   700.000                -17.709                  0.296                  0.288              
   650.000                -22.111                  0.132                  0.216              
   600.000                -26.870                  0.085                  0.177              
   550.000                -32.258                  0.045                  0.162              
   500.000                -38.228                  0.022                  0.197              
   450.000                -44.904                  0.024                  0.348              
   400.000                -52.324                  0.027                  0.599              
   350.000                -60.573                  0.018                  0.738              
   300.000                -69.456                  0.006                  1.000              
   250.000                -74.145                  0.003                  1.002              
   200.000                -72.868                  0.001                  0.168              
   150.000                -73.907                  0.001                  0.138              
   100.000                -72.998                  0.001                  0.085              
    80.000                -70.439                  0.001                  0.049              
    60.000                -64.018                  0.001                  0.016              
    40.000                -55.396                  0.001                  0.004              
    30.000                -48.939                  0.001                  0.001              
    25.000                -37.504                  0.001                  0.000              
