 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.631                  3.351                  0.632              
   950.000                  0.546                  3.177                  0.799              
   900.000                 -3.268                  2.371                  0.740              
   850.000                 -6.797                  1.625                  0.660              
   800.000                -10.395                  1.031                  0.543              
   750.000                -14.100                  0.539                  0.386              
   700.000                -18.024                  0.262                  0.270              
   650.000                -22.404                  0.121                  0.198              
   600.000                -27.210                  0.063                  0.160              
   550.000                -32.629                  0.030                  0.139              
   500.000                -38.682                  0.022                  0.167              
   450.000                -45.343                  0.018                  0.298              
   400.000                -52.617                  0.013                  0.524              
   350.000                -60.703                  0.011                  0.773              
   300.000                -69.709                  0.006                  1.002              
   250.000                -74.289                  0.003                  1.000              
   200.000                -73.103                  0.001                  0.179              
   150.000                -74.135                  0.001                  0.154              
   100.000                -73.183                  0.001                  0.092              
    80.000                -70.590                  0.001                  0.052              
    60.000                -64.140                  0.001                  0.016              
    40.000                -55.484                  0.001                  0.004              
    30.000                -48.993                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
