  N levels =   24          CBMF=    21.586     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.981       2.986413     0.048    0.00       0.786
    950.0    -1.116       2.826737     0.051    0.00       1.394
    900.0    -4.901       2.007046     0.053    0.00       1.423
    850.0    -8.456       1.340850     0.056    0.00       1.505
    800.0   -12.109       0.850241     0.057    0.00       1.600
    750.0   -15.899       0.484054     0.059    0.00       1.577
    700.0   -19.967       0.233630     0.060    0.00       1.479
    650.0   -24.379       0.108202     0.061    0.00       1.333
    600.0   -29.236       0.055191     0.063    0.00       1.129
    550.0   -34.629       0.024879     0.066    0.00       0.668
    500.0   -40.675       0.019536     0.069    0.00       0.504
    450.0   -47.340       0.016554     0.073    0.00       0.430
    400.0   -54.655       0.014203     0.077    0.00       0.323
    350.0   -62.738       0.013028     0.085    0.00       0.317
    300.0   -71.320       0.004444     0.096    0.00       0.029
    250.0   -74.973       0.003050     0.117    0.00       0.015
    200.0   -73.604       0.001000     0.153    0.00       0.002
    150.0   -74.163       0.001000     0.202    0.00       0.002
    100.0   -72.318       0.001000     0.405    0.00      -0.001
     80.0   -68.844       0.001000     0.755    0.00      -0.005
     60.0   -61.062       0.001000     2.042    0.00      -0.014
     40.0   -50.762       0.001000     5.238    0.00      -0.027
     30.0   -42.485       0.001000     8.440    0.00      -0.037
     25.0   -26.049       0.001000    10.124    0.00      -0.058
