  N levels =   24          CBMF=    17.817     SST=   10.22 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.422       4.233300     0.048    0.00       1.078
    950.0     3.332       4.043365     0.051    0.00       1.382
    900.0    -0.242       3.164961     0.053    0.00       1.368
    850.0    -3.595       2.205709     0.056    0.00       1.436
    800.0    -7.005       1.467739     0.057    0.00       1.564
    750.0   -10.589       0.929058     0.059    0.00       1.551
    700.0   -14.470       0.538151     0.060    0.00       1.440
    650.0   -18.708       0.296272     0.061    0.00       1.291
    600.0   -23.484       0.167377     0.063    0.00       1.119
    550.0   -28.935       0.108673     0.066    0.00       0.926
    500.0   -35.089       0.081238     0.069    0.00       0.823
    450.0   -41.745       0.054049     0.073    0.00       0.800
    400.0   -48.991       0.027402     0.077    0.00       0.692
    350.0   -57.099       0.016279     0.085    0.00       0.554
    300.0   -66.155       0.009330     0.096    0.00       0.349
    250.0   -73.473       0.003847     0.117    0.00       0.135
    200.0   -71.457       0.001000     0.153    0.00       0.032
    150.0   -72.847       0.001000     0.202    0.00      -0.003
    100.0   -72.481       0.001000     0.405    0.00      -0.007
     80.0   -70.143       0.001000     0.755    0.00      -0.030
     60.0   -63.627       0.001000     2.042    0.00      -0.095
     40.0   -54.915       0.001000     5.238    0.00      -0.182
     30.0   -48.555       0.001000     8.440    0.00      -0.246
     25.0   -37.560       0.001000    10.124    0.00      -0.356
