 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.422                  4.233                  0.661              
   950.000                  3.332                  4.043                  0.833              
   900.000                 -0.242                  3.165                  0.733              
   850.000                 -3.595                  2.206                  0.699              
   800.000                 -7.005                  1.468                  0.584              
   750.000                -10.589                  0.929                  0.445              
   700.000                -14.470                  0.538                  0.343              
   650.000                -18.708                  0.296                  0.285              
   600.000                -23.484                  0.167                  0.261              
   550.000                -28.935                  0.109                  0.266              
   500.000                -35.089                  0.081                  0.324              
   450.000                -41.745                  0.054                  0.503              
   400.000                -48.991                  0.027                  0.766              
   350.000                -57.099                  0.016                  0.890              
   300.000                -66.155                  0.009                  1.025              
   250.000                -73.473                  0.004                  0.999              
   200.000                -71.457                  0.001                  0.182              
   150.000                -72.847                  0.001                  0.145              
   100.000                -72.481                  0.001                  0.099              
    80.000                -70.143                  0.001                  0.065              
    60.000                -63.627                  0.001                  0.025              
    40.000                -54.915                  0.001                  0.007              
    30.000                -48.555                  0.001                  0.003              
    25.000                -37.560                  0.001                  0.001              
