 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.848                  3.403                  0.645              
   950.000                  0.761                  3.225                  0.813              
   900.000                 -3.054                  2.397                  0.745              
   850.000                 -6.568                  1.639                  0.670              
   800.000                -10.121                  1.038                  0.554              
   750.000                -13.777                  0.587                  0.404              
   700.000                -17.728                  0.329                  0.287              
   650.000                -22.123                  0.174                  0.215              
   600.000                -26.953                  0.096                  0.176              
   550.000                -32.300                  0.043                  0.162              
   500.000                -38.250                  0.026                  0.199              
   450.000                -44.986                  0.027                  0.351              
   400.000                -52.427                  0.023                  0.605              
   350.000                -60.587                  0.016                  0.743              
   300.000                -69.477                  0.006                  1.007              
   250.000                -74.148                  0.003                  1.001              
   200.000                -72.871                  0.001                  0.167              
   150.000                -73.910                  0.001                  0.140              
   100.000                -73.000                  0.001                  0.086              
    80.000                -70.440                  0.001                  0.050              
    60.000                -64.020                  0.001                  0.016              
    40.000                -55.397                  0.001                  0.004              
    30.000                -48.940                  0.001                  0.001              
    25.000                -37.503                  0.001                  0.000              
