 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.965                  2.982                  0.620              
   950.000                 -1.133                  2.822                  0.795              
   900.000                 -4.920                  2.003                  0.724              
   850.000                 -8.476                  1.338                  0.625              
   800.000                -12.129                  0.846                  0.516              
   750.000                -15.911                  0.478                  0.375              
   700.000                -19.973                  0.239                  0.260              
   650.000                -24.409                  0.113                  0.192              
   600.000                -29.269                  0.052                  0.154              
   550.000                -34.643                  0.025                  0.115              
   500.000                -40.689                  0.019                  0.151              
   450.000                -47.354                  0.016                  0.247              
   400.000                -54.669                  0.014                  0.450              
   350.000                -62.754                  0.013                  0.980              
   300.000                -71.339                  0.004                  1.000              
   250.000                -74.972                  0.003                  1.000              
   200.000                -73.601                  0.001                  0.207              
   150.000                -74.156                  0.001                  0.171              
   100.000                -72.286                  0.001                  0.088              
    80.000                -68.810                  0.001                  0.044              
    60.000                -61.057                  0.001                  0.012              
    40.000                -50.764                  0.001                  0.002              
    30.000                -42.490                  0.001                  0.001              
    25.000                -26.065                  0.001                  0.000              
