 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.622                  3.344                  0.638              
   950.000                  0.533                  3.169                  0.805              
   900.000                 -3.315                  2.362                  0.742              
   850.000                 -6.879                  1.634                  0.662              
   800.000                -10.486                  1.028                  0.547              
   750.000                -14.145                  0.510                  0.394              
   700.000                -18.000                  0.269                  0.279              
   650.000                -22.438                  0.128                  0.205              
   600.000                -27.239                  0.058                  0.165              
   550.000                -32.555                  0.031                  0.143              
   500.000                -38.554                  0.019                  0.169              
   450.000                -45.202                  0.019                  0.300              
   400.000                -52.558                  0.020                  0.525              
   350.000                -60.768                  0.017                  0.752              
   300.000                -69.709                  0.006                  0.993              
   250.000                -74.285                  0.003                  1.003              
   200.000                -73.093                  0.001                  0.178              
   150.000                -74.126                  0.001                  0.152              
   100.000                -73.177                  0.001                  0.089              
    80.000                -70.585                  0.001                  0.050              
    60.000                -64.136                  0.001                  0.016              
    40.000                -55.482                  0.001                  0.004              
    30.000                -48.992                  0.001                  0.001              
    25.000                -37.491                  0.001                  0.000              
