 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.892                  3.719                  0.642              
   950.000                  1.804                  3.535                  0.811              
   900.000                 -1.928                  2.675                  0.758              
   850.000                 -5.378                  1.840                  0.686              
   800.000                 -8.857                  1.181                  0.569              
   750.000                -12.449                  0.694                  0.426              
   700.000                -16.332                  0.400                  0.315              
   650.000                -20.671                  0.240                  0.256              
   600.000                -25.492                  0.144                  0.230              
   550.000                -30.859                  0.081                  0.231              
   500.000                -36.911                  0.065                  0.289              
   450.000                -43.734                  0.070                  0.479              
   400.000                -51.128                  0.046                  0.770              
   350.000                -59.246                  0.019                  0.792              
   300.000                -68.053                  0.007                  1.001              
   250.000                -74.023                  0.004                  0.998              
   200.000                -72.572                  0.001                  0.200              
   150.000                -73.682                  0.001                  0.162              
   100.000                -72.903                  0.001                  0.104              
    80.000                -70.366                  0.001                  0.065              
    60.000                -63.870                  0.001                  0.023              
    40.000                -55.225                  0.001                  0.006              
    30.000                -48.804                  0.001                  0.003              
    25.000                -37.499                  0.001                  0.001              
