 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.471                  3.611                  0.657              
   950.000                  1.389                  3.431                  0.828              
   900.000                 -2.306                  2.584                  0.744              
   850.000                 -5.739                  1.767                  0.683              
   800.000                 -9.259                  1.161                  0.571              
   750.000                -12.963                  0.722                  0.430              
   700.000                -16.967                  0.401                  0.325              
   650.000                -21.306                  0.205                  0.263              
   600.000                -26.131                  0.106                  0.233              
   550.000                -31.567                  0.062                  0.236              
   500.000                -37.679                  0.046                  0.293              
   450.000                -44.333                  0.035                  0.476              
   400.000                -51.603                  0.021                  0.742              
   350.000                -59.665                  0.015                  0.854              
   300.000                -68.553                  0.007                  1.027              
   250.000                -73.963                  0.004                  0.999              
   200.000                -71.910                  0.001                  0.171              
   150.000                -72.629                  0.001                  0.137              
   100.000                -71.209                  0.001                  0.085              
    80.000                -67.921                  0.001                  0.050              
    60.000                -60.191                  0.001                  0.017              
    40.000                -50.039                  0.001                  0.004              
    30.000                -42.015                  0.001                  0.002              
    25.000                -26.179                  0.001                  0.000              
