 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 13.263                  6.758                  0.729              
   950.000                  9.133                  6.549                  0.910              
   900.000                  6.143                  4.788                  0.747              
   850.000                  2.773                  3.684                  0.690              
   800.000                 -0.577                  2.681                  0.623              
   750.000                 -3.548                  1.688                  0.545              
   700.000                 -6.886                  1.036                  0.453              
   650.000                -10.623                  0.622                  0.372              
   600.000                -14.930                  0.383                  0.319              
   550.000                -19.966                  0.261                  0.304              
   500.000                -25.819                  0.208                  0.341              
   450.000                -32.462                  0.165                  0.454              
   400.000                -39.861                  0.097                  0.632              
   350.000                -48.161                  0.060                  0.889              
   300.000                -57.534                  0.026                  1.070              
   250.000                -68.073                  0.009                  1.043              
   200.000                -68.017                  0.001                  0.247              
   150.000                -71.199                  0.001                  0.195              
   100.000                -71.355                  0.001                  0.090              
    80.000                -69.272                  0.001                  0.062              
    60.000                -62.266                  0.001                  0.027              
    40.000                -51.709                  0.001                  0.009              
    30.000                -42.941                  0.001                  0.004              
    25.000                -26.370                  0.001                  0.001              
