 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  8.495                  4.578                  0.696              
   950.000                  4.395                  4.419                  0.872              
   900.000                  0.912                  3.348                  0.737              
   850.000                 -2.719                  2.545                  0.683              
   800.000                 -6.127                  1.621                  0.589              
   750.000                 -9.534                  0.894                  0.468              
   700.000                -13.300                  0.465                  0.363              
   650.000                -17.484                  0.229                  0.282              
   600.000                -22.152                  0.110                  0.233              
   550.000                -27.380                  0.056                  0.219              
   500.000                -33.249                  0.033                  0.257              
   450.000                -39.833                  0.024                  0.387              
   400.000                -47.194                  0.020                  0.578              
   350.000                -55.406                  0.018                  0.716              
   300.000                -64.603                  0.012                  0.968              
   250.000                -72.701                  0.004                  1.017              
   200.000                -70.037                  0.001                  0.176              
   150.000                -71.121                  0.001                  0.131              
   100.000                -70.728                  0.001                  0.075              
    80.000                -68.485                  0.001                  0.048              
    60.000                -62.291                  0.001                  0.018              
    40.000                -54.044                  0.001                  0.005              
    30.000                -48.098                  0.001                  0.002              
    25.000                -37.711                  0.001                  0.001              
