 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.637                  3.364                  0.684              
   950.000                  0.551                  3.190                  0.858              
   900.000                 -3.277                  2.375                  0.751              
   850.000                 -6.831                  1.645                  0.685              
   800.000                -10.426                  1.040                  0.584              
   750.000                -14.079                  0.524                  0.461              
   700.000                -17.936                  0.284                  0.363              
   650.000                -22.370                  0.135                  0.296              
   600.000                -27.159                  0.075                  0.253              
   550.000                -32.501                  0.039                  0.235              
   500.000                -38.483                  0.021                  0.266              
   450.000                -45.135                  0.022                  0.387              
   400.000                -52.518                  0.025                  0.557              
   350.000                -60.750                  0.017                  0.672              
   300.000                -69.635                  0.006                  0.867              
   250.000                -74.057                  0.004                  0.980              
   200.000                -71.898                  0.001                  0.328              
   150.000                -72.324                  0.001                  0.120              
   100.000                -70.736                  0.001                  0.056              
    80.000                -67.524                  0.001                  0.032              
    60.000                -60.025                  0.001                  0.010              
    40.000                -50.047                  0.001                  0.003              
    30.000                -42.051                  0.001                  0.001              
    25.000                -26.187                  0.001                  0.000              
