  N levels =   24          CBMF=    21.591     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.971       2.984053     0.048    0.00       1.045
    950.0    -1.127       2.824217     0.051    0.00       1.477
    900.0    -4.913       2.003575     0.053    0.00       1.506
    850.0    -8.471       1.338459     0.056    0.00       1.537
    800.0   -12.125       0.844139     0.057    0.00       1.612
    750.0   -15.899       0.470562     0.059    0.00       1.589
    700.0   -19.947       0.243150     0.060    0.00       1.501
    650.0   -24.404       0.118757     0.061    0.00       1.374
    600.0   -29.274       0.055498     0.063    0.00       1.202
    550.0   -34.644       0.024912     0.066    0.00       0.859
    500.0   -40.685       0.019190     0.069    0.00       0.734
    450.0   -47.348       0.016204     0.073    0.00       0.715
    400.0   -54.663       0.013850     0.077    0.00       0.622
    350.0   -62.747       0.012981     0.085    0.00       0.560
    300.0   -71.332       0.004453     0.096    0.00       0.266
    250.0   -74.970       0.003051     0.117    0.00       0.174
    200.0   -73.599       0.001000     0.153    0.00       0.094
    150.0   -74.154       0.001000     0.202    0.00       0.025
    100.0   -72.285       0.001000     0.405    0.00      -0.001
     80.0   -68.809       0.001000     0.755    0.00      -0.005
     60.0   -61.057       0.001000     2.042    0.00      -0.015
     40.0   -50.765       0.001000     5.238    0.00      -0.027
     30.0   -42.493       0.001000     8.440    0.00      -0.038
     25.0   -26.078       0.001000    10.124    0.00      -0.060
