 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 11.804                  5.913                  0.680              
   950.000                  7.681                  5.720                  0.853              
   900.000                  4.467                  4.193                  0.726              
   850.000                  0.989                  3.098                  0.655              
   800.000                 -2.460                  2.122                  0.563              
   750.000                 -5.548                  1.197                  0.406              
   700.000                 -8.967                  0.643                  0.285              
   650.000                -12.787                  0.335                  0.201              
   600.000                -17.190                  0.183                  0.154              
   550.000                -22.322                  0.119                  0.146              
   500.000                -28.259                  0.098                  0.186              
   450.000                -34.996                  0.095                  0.305              
   400.000                -42.487                  0.098                  0.590              
   350.000                -50.816                  0.057                  0.863              
   300.000                -60.128                  0.022                  0.930              
   250.000                -69.964                  0.007                  1.000              
   200.000                -66.526                  0.001                  0.083              
   150.000                -67.754                  0.001                  0.069              
   100.000                -69.005                  0.001                  0.055              
    80.000                -69.073                  0.001                  0.045              
    60.000                -67.003                  0.001                  0.025              
    40.000                -64.703                  0.001                  0.012              
    30.000                -65.228                  0.001                  0.009              
    25.000                -70.160                  0.001                  0.016              
