  N levels =   24          CBMF=     9.574     SST=   31.17 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    28.816      19.874504     0.048    0.00       1.999
    950.0    24.558      19.598808     0.051    0.00       1.273
    900.0    22.943      15.998950     0.053    0.00       1.903
    850.0    20.345      13.915357     0.056    0.00       1.762
    800.0    17.902      12.213620     0.057    0.00       1.844
    750.0    15.306      10.695745     0.059    0.00       1.841
    700.0    12.576       9.201722     0.060    0.00       1.830
    650.0     9.696       7.675097     0.061    0.00       1.815
    600.0     6.612       6.162107     0.063    0.00       1.812
    550.0     3.238       4.692066     0.066    0.00       1.842
    500.0    -0.863       3.273234     0.069    0.00       1.921
    450.0    -5.385       2.212583     0.073    0.00       1.975
    400.0   -10.501       1.407331     0.077    0.00       2.201
    350.0   -16.806       0.776790     0.085    0.00       2.392
    300.0   -24.508       0.320224     0.096    0.00       2.163
    250.0   -34.803       0.199363     0.117    0.00       1.963
    200.0   -47.564       0.086923     0.153    0.00       1.502
    150.0   -63.945       0.026219     0.202    0.00       1.113
    100.0   -73.203       0.002540     0.405    0.00       0.083
     80.0   -66.197       0.001000     0.755    0.00      -0.139
     60.0   -58.008       0.001000     2.042    0.00      -0.303
     40.0   -48.361       0.001000     5.238    0.00      -0.496
     30.0   -40.759       0.001000     8.440    0.00      -0.648
     25.0   -26.853       0.001000    10.124    0.00      -0.926
