  N levels =   24          CBMF=    21.596     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.967       2.982780     0.048    0.00       0.835
    950.0    -1.130       2.823121     0.051    0.00       1.398
    900.0    -4.916       2.003971     0.053    0.00       1.426
    850.0    -8.471       1.338457     0.056    0.00       1.507
    800.0   -12.125       0.848182     0.057    0.00       1.606
    750.0   -15.914       0.481927     0.059    0.00       1.582
    700.0   -19.981       0.233325     0.060    0.00       1.477
    650.0   -24.398       0.108897     0.061    0.00       1.330
    600.0   -29.255       0.054930     0.063    0.00       1.134
    550.0   -34.643       0.024667     0.066    0.00       0.709
    500.0   -40.687       0.019086     0.069    0.00       0.543
    450.0   -47.353       0.016131     0.073    0.00       0.477
    400.0   -54.670       0.013786     0.077    0.00       0.358
    350.0   -62.758       0.013317     0.085    0.00       0.347
    300.0   -71.336       0.004434     0.096    0.00       0.057
    250.0   -74.973       0.003050     0.117    0.00       0.022
    200.0   -73.603       0.001000     0.153    0.00       0.007
    150.0   -74.157       0.001000     0.202    0.00       0.002
    100.0   -72.288       0.001000     0.405    0.00      -0.001
     80.0   -68.811       0.001000     0.755    0.00      -0.006
     60.0   -61.059       0.001000     2.042    0.00      -0.017
     40.0   -50.766       0.001000     5.238    0.00      -0.031
     30.0   -42.494       0.001000     8.440    0.00      -0.043
     25.0   -26.078       0.001000    10.124    0.00      -0.068
