 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.967                  2.983                  0.624              
   950.000                 -1.130                  2.823                  0.798              
   900.000                 -4.916                  2.004                  0.727              
   850.000                 -8.471                  1.338                  0.634              
   800.000                -12.125                  0.848                  0.523              
   750.000                -15.914                  0.482                  0.382              
   700.000                -19.981                  0.233                  0.267              
   650.000                -24.398                  0.109                  0.199              
   600.000                -29.255                  0.055                  0.162              
   550.000                -34.643                  0.025                  0.127              
   500.000                -40.687                  0.019                  0.163              
   450.000                -47.353                  0.016                  0.272              
   400.000                -54.670                  0.014                  0.484              
   350.000                -62.758                  0.013                  0.960              
   300.000                -71.336                  0.004                  1.003              
   250.000                -74.973                  0.003                  1.000              
   200.000                -73.603                  0.001                  0.201              
   150.000                -74.157                  0.001                  0.164              
   100.000                -72.288                  0.001                  0.086              
    80.000                -68.811                  0.001                  0.043              
    60.000                -61.059                  0.001                  0.012              
    40.000                -50.766                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
