 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 12.825                  6.536                  0.743              
   950.000                  8.698                  6.327                  0.926              
   900.000                  5.668                  4.603                  0.761              
   850.000                  2.279                  3.517                  0.701              
   800.000                 -1.083                  2.525                  0.628              
   750.000                 -4.073                  1.554                  0.549              
   700.000                 -7.428                  0.929                  0.476              
   650.000                -11.186                  0.545                  0.411              
   600.000                -15.525                  0.334                  0.358              
   550.000                -20.614                  0.239                  0.324              
   500.000                -26.539                  0.206                  0.339              
   450.000                -33.243                  0.179                  0.397              
   400.000                -40.627                  0.114                  0.460              
   350.000                -48.907                  0.067                  0.594              
   300.000                -58.247                  0.023                  0.726              
   250.000                -68.743                  0.008                  1.065              
   200.000                -69.061                  0.001                  0.608              
   150.000                -69.065                  0.001                  0.135              
   100.000                -68.072                  0.001                  0.063              
    80.000                -65.398                  0.001                  0.042              
    60.000                -57.838                  0.001                  0.016              
    40.000                -47.907                  0.001                  0.005              
    30.000                -40.520                  0.001                  0.002              
    25.000                -26.532                  0.001                  0.001              
