 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.441                  3.110                  0.668              
   950.000                 -0.657                  2.952                  0.841              
   900.000                 -4.400                  2.118                  0.745              
   850.000                 -7.930                  1.412                  0.672              
   800.000                -11.549                  0.894                  0.568              
   750.000                -15.333                  0.516                  0.439              
   700.000                -19.377                  0.252                  0.337              
   650.000                -23.771                  0.119                  0.269              
   600.000                -28.618                  0.061                  0.227              
   550.000                -33.990                  0.027                  0.202              
   500.000                -40.027                  0.020                  0.232              
   450.000                -46.703                  0.018                  0.345              
   400.000                -54.031                  0.015                  0.522              
   350.000                -62.143                  0.014                  0.740              
   300.000                -70.764                  0.005                  0.900              
   250.000                -74.638                  0.003                  0.985              
   200.000                -72.929                  0.001                  0.290              
   150.000                -73.419                  0.001                  0.126              
   100.000                -71.681                  0.001                  0.061              
    80.000                -68.311                  0.001                  0.033              
    60.000                -60.675                  0.001                  0.010              
    40.000                -50.530                  0.001                  0.002              
    30.000                -42.357                  0.001                  0.001              
    25.000                -26.112                  0.001                  0.000              
