  N levels =   24          CBMF=    21.599     SST=    6.46 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.973       2.984243     0.048    0.00       0.937
    950.0    -1.125       2.824477     0.051    0.00       1.439
    900.0    -4.911       2.004968     0.053    0.00       1.455
    850.0    -8.466       1.338816     0.056    0.00       1.517
    800.0   -12.118       0.847534     0.057    0.00       1.609
    750.0   -15.903       0.481017     0.059    0.00       1.591
    700.0   -19.969       0.236870     0.060    0.00       1.495
    650.0   -24.396       0.111276     0.061    0.00       1.351
    600.0   -29.254       0.053204     0.063    0.00       1.159
    550.0   -34.634       0.024666     0.066    0.00       0.773
    500.0   -40.680       0.019098     0.069    0.00       0.620
    450.0   -47.346       0.016142     0.073    0.00       0.572
    400.0   -54.662       0.013796     0.077    0.00       0.461
    350.0   -62.751       0.013331     0.085    0.00       0.429
    300.0   -71.330       0.004438     0.096    0.00       0.143
    250.0   -74.971       0.003051     0.117    0.00       0.059
    200.0   -73.600       0.001000     0.153    0.00       0.022
    150.0   -74.155       0.001000     0.202    0.00       0.006
    100.0   -72.285       0.001000     0.405    0.00      -0.001
     80.0   -68.809       0.001000     0.755    0.00      -0.006
     60.0   -61.057       0.001000     2.042    0.00      -0.017
     40.0   -50.765       0.001000     5.238    0.00      -0.031
     30.0   -42.493       0.001000     8.440    0.00      -0.043
     25.0   -26.078       0.001000    10.124    0.00      -0.068
