 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.011                  3.449                  0.650              
   950.000                  0.924                  3.270                  0.819              
   900.000                 -2.872                  2.439                  0.746              
   850.000                 -6.371                  1.668                  0.671              
   800.000                 -9.914                  1.066                  0.557              
   750.000                -13.584                  0.622                  0.412              
   700.000                -17.556                  0.341                  0.297              
   650.000                -21.920                  0.169                  0.223              
   600.000                -26.733                  0.096                  0.182              
   550.000                -32.081                  0.043                  0.167              
   500.000                -38.049                  0.027                  0.202              
   450.000                -44.806                  0.026                  0.353              
   400.000                -52.222                  0.021                  0.605              
   350.000                -60.355                  0.015                  0.728              
   300.000                -69.288                  0.006                  0.990              
   250.000                -74.097                  0.003                  1.005              
   200.000                -72.811                  0.001                  0.169              
   150.000                -73.841                  0.001                  0.141              
   100.000                -72.938                  0.001                  0.083              
    80.000                -70.384                  0.001                  0.048              
    60.000                -63.966                  0.001                  0.016              
    40.000                -55.352                  0.001                  0.004              
    30.000                -48.910                  0.001                  0.001              
    25.000                -37.511                  0.001                  0.000              
