  N levels =   24          CBMF=    21.191     SST=    7.77 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.609       3.335057     0.048    0.00       0.901
    950.0     0.521       3.160299     0.051    0.00       1.336
    900.0    -3.326       2.350220     0.053    0.00       1.382
    850.0    -6.879       1.623126     0.056    0.00       1.505
    800.0   -10.472       1.025448     0.057    0.00       1.644
    750.0   -14.134       0.525336     0.059    0.00       1.603
    700.0   -18.025       0.293704     0.060    0.00       1.499
    650.0   -22.427       0.129754     0.061    0.00       1.325
    600.0   -27.207       0.086390     0.063    0.00       1.120
    550.0   -32.607       0.040188     0.066    0.00       0.777
    500.0   -38.559       0.021742     0.069    0.00       0.577
    450.0   -45.240       0.023576     0.073    0.00       0.554
    400.0   -52.654       0.025025     0.077    0.00       0.395
    350.0   -60.875       0.017176     0.085    0.00       0.372
    300.0   -69.735       0.005645     0.096    0.00       0.080
    250.0   -74.293       0.003390     0.117    0.00       0.012
    200.0   -73.111       0.001000     0.153    0.00       0.003
    150.0   -74.142       0.001000     0.202    0.00       0.002
    100.0   -73.188       0.001000     0.405    0.00       0.001
     80.0   -70.594       0.001000     0.755    0.00      -0.003
     60.0   -64.143       0.001000     2.042    0.00      -0.011
     40.0   -55.487       0.001000     5.238    0.00      -0.021
     30.0   -48.995       0.001000     8.440    0.00      -0.029
     25.0   -37.490       0.001000    10.124    0.00      -0.045
