 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.609                  3.335                  0.624              
   950.000                  0.521                  3.160                  0.790              
   900.000                 -3.326                  2.350                  0.741              
   850.000                 -6.879                  1.623                  0.657              
   800.000                -10.472                  1.025                  0.539              
   750.000                -14.134                  0.525                  0.381              
   700.000                -18.025                  0.294                  0.266              
   650.000                -22.427                  0.130                  0.195              
   600.000                -27.207                  0.086                  0.159              
   550.000                -32.607                  0.040                  0.135              
   500.000                -38.559                  0.022                  0.161              
   450.000                -45.240                  0.024                  0.287              
   400.000                -52.654                  0.025                  0.514              
   350.000                -60.875                  0.017                  0.784              
   300.000                -69.735                  0.006                  1.000              
   250.000                -74.293                  0.003                  1.000              
   200.000                -73.111                  0.001                  0.191              
   150.000                -74.142                  0.001                  0.166              
   100.000                -73.188                  0.001                  0.098              
    80.000                -70.594                  0.001                  0.055              
    60.000                -64.143                  0.001                  0.017              
    40.000                -55.487                  0.001                  0.004              
    30.000                -48.995                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
