 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.375                  4.965                  0.725              
   950.000                  5.275                  4.787                  0.905              
   900.000                  1.940                  3.523                  0.752              
   850.000                 -1.567                  2.676                  0.693              
   800.000                 -4.836                  1.816                  0.611              
   750.000                 -8.242                  1.133                  0.512              
   700.000                -11.883                  0.672                  0.430              
   650.000                -15.991                  0.403                  0.365              
   600.000                -20.700                  0.248                  0.318              
   550.000                -26.112                  0.162                  0.295              
   500.000                -32.217                  0.107                  0.323              
   450.000                -38.839                  0.061                  0.407              
   400.000                -46.116                  0.032                  0.498              
   350.000                -54.306                  0.020                  0.620              
   300.000                -63.536                  0.014                  0.773              
   250.000                -71.869                  0.005                  0.993              
   200.000                -69.098                  0.001                  0.480              
   150.000                -69.477                  0.001                  0.120              
   100.000                -68.244                  0.001                  0.056              
    80.000                -65.291                  0.001                  0.036              
    60.000                -57.992                  0.001                  0.013              
    40.000                -48.361                  0.001                  0.004              
    30.000                -40.958                  0.001                  0.002              
    25.000                -26.470                  0.001                  0.000              
