  N levels =   24          CBMF=    21.498     SST=    6.51 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.028       2.999957     0.048    0.00       0.936
    950.0    -1.070       2.840504     0.051    0.00       1.423
    900.0    -4.851       2.017827     0.053    0.00       1.442
    850.0    -8.407       1.347476     0.056    0.00       1.514
    800.0   -12.061       0.845994     0.057    0.00       1.612
    750.0   -15.830       0.454425     0.059    0.00       1.591
    700.0   -19.835       0.240608     0.060    0.00       1.485
    650.0   -24.307       0.128288     0.061    0.00       1.333
    600.0   -29.205       0.062027     0.063    0.00       1.139
    550.0   -34.573       0.025357     0.066    0.00       0.773
    500.0   -40.608       0.019306     0.069    0.00       0.621
    450.0   -47.273       0.016363     0.073    0.00       0.579
    400.0   -54.590       0.013956     0.077    0.00       0.451
    350.0   -62.679       0.013458     0.085    0.00       0.411
    300.0   -71.267       0.004478     0.096    0.00       0.135
    250.0   -74.949       0.003061     0.117    0.00       0.042
    200.0   -73.571       0.001000     0.153    0.00       0.021
    150.0   -74.126       0.001000     0.202    0.00       0.002
    100.0   -72.261       0.001000     0.405    0.00      -0.002
     80.0   -68.787       0.001000     0.755    0.00      -0.008
     60.0   -61.038       0.001000     2.042    0.00      -0.024
     40.0   -50.749       0.001000     5.238    0.00      -0.044
     30.0   -42.482       0.001000     8.440    0.00      -0.061
     25.0   -26.081       0.001000    10.124    0.00      -0.095
