  N levels =   24          CBMF=    20.915     SST=    7.96 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.825       3.397123     0.048    0.00       0.998
    950.0     0.737       3.221023     0.051    0.00       1.364
    900.0    -3.089       2.395286     0.053    0.00       1.400
    850.0    -6.625       1.651644     0.056    0.00       1.499
    800.0   -10.196       1.042907     0.057    0.00       1.630
    750.0   -13.838       0.552199     0.059    0.00       1.609
    700.0   -17.731       0.310184     0.060    0.00       1.484
    650.0   -22.132       0.164915     0.061    0.00       1.308
    600.0   -26.954       0.096703     0.063    0.00       1.090
    550.0   -32.329       0.046088     0.066    0.00       0.829
    500.0   -38.267       0.024074     0.069    0.00       0.682
    450.0   -44.964       0.026514     0.073    0.00       0.679
    400.0   -52.409       0.026940     0.077    0.00       0.535
    350.0   -60.653       0.017418     0.085    0.00       0.445
    300.0   -69.491       0.005854     0.096    0.00       0.187
    250.0   -74.164       0.003459     0.117    0.00       0.032
    200.0   -72.898       0.001000     0.153    0.00       0.017
    150.0   -73.934       0.001000     0.202    0.00       0.002
    100.0   -73.019       0.001000     0.405    0.00      -0.000
     80.0   -70.457       0.001000     0.755    0.00      -0.005
     60.0   -64.033       0.001000     2.042    0.00      -0.018
     40.0   -55.407       0.001000     5.238    0.00      -0.035
     30.0   -48.945       0.001000     8.440    0.00      -0.048
     25.0   -37.502       0.001000    10.124    0.00      -0.072
