 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.265                  3.063                  0.676              
   950.000                 -0.833                  2.905                  0.850              
   900.000                 -4.589                  2.078                  0.751              
   850.000                 -8.126                  1.385                  0.678              
   800.000                -11.761                  0.875                  0.579              
   750.000                -15.560                  0.474                  0.459              
   700.000                -19.550                  0.228                  0.363              
   650.000                -23.955                  0.121                  0.298              
   600.000                -28.849                  0.067                  0.254              
   550.000                -34.242                  0.027                  0.226              
   500.000                -40.276                  0.020                  0.251              
   450.000                -46.946                  0.017                  0.351              
   400.000                -54.268                  0.015                  0.507              
   350.000                -62.367                  0.014                  0.724              
   300.000                -70.979                  0.005                  0.837              
   250.000                -74.779                  0.003                  0.917              
   200.000                -73.169                  0.001                  0.324              
   150.000                -73.686                  0.001                  0.212              
   100.000                -71.891                  0.001                  0.074              
    80.000                -68.503                  0.001                  0.031              
    60.000                -60.848                  0.001                  0.009              
    40.000                -50.627                  0.001                  0.002              
    30.000                -42.411                  0.001                  0.001              
    25.000                -26.098                  0.001                  0.000              
