  N levels =   24          CBMF=    21.030     SST=    7.76 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.617       3.346364     0.048    0.00       0.884
    950.0     0.530       3.172847     0.051    0.00       1.334
    900.0    -3.304       2.365383     0.053    0.00       1.381
    850.0    -6.860       1.633198     0.056    0.00       1.507
    800.0   -10.469       1.030546     0.057    0.00       1.647
    750.0   -14.157       0.514149     0.059    0.00       1.603
    700.0   -18.035       0.233098     0.060    0.00       1.507
    650.0   -22.392       0.109744     0.061    0.00       1.334
    600.0   -27.225       0.065713     0.063    0.00       1.132
    550.0   -32.631       0.026314     0.066    0.00       0.766
    500.0   -38.642       0.018804     0.069    0.00       0.553
    450.0   -45.275       0.016444     0.073    0.00       0.528
    400.0   -52.556       0.013343     0.077    0.00       0.368
    350.0   -60.680       0.013775     0.085    0.00       0.358
    300.0   -69.697       0.005677     0.096    0.00       0.062
    250.0   -74.293       0.003389     0.117    0.00       0.010
    200.0   -73.118       0.001000     0.153    0.00       0.000
    150.0   -74.149       0.001000     0.202    0.00       0.002
    100.0   -73.193       0.001000     0.405    0.00       0.001
     80.0   -70.597       0.001000     0.755    0.00      -0.002
     60.0   -64.145       0.001000     2.042    0.00      -0.009
     40.0   -55.488       0.001000     5.238    0.00      -0.019
     30.0   -48.995       0.001000     8.440    0.00      -0.026
     25.0   -37.488       0.001000    10.124    0.00      -0.040
