 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.961                  4.405                  0.668              
   950.000                  3.866                  4.245                  0.842              
   900.000                  0.377                  3.181                  0.740              
   850.000                 -3.245                  2.399                  0.720              
   800.000                 -6.689                  1.547                  0.615              
   750.000                -10.162                  0.863                  0.493              
   700.000                -13.928                  0.446                  0.404              
   650.000                -18.167                  0.226                  0.362              
   600.000                -22.912                  0.115                  0.357              
   550.000                -28.207                  0.061                  0.386              
   500.000                -34.094                  0.036                  0.473              
   450.000                -40.644                  0.025                  0.683              
   400.000                -47.957                  0.019                  0.980              
   350.000                -56.135                  0.016                  1.131              
   300.000                -65.267                  0.011                  1.038              
   250.000                -72.741                  0.004                  0.997              
   200.000                -71.350                  0.001                  0.227              
   150.000                -73.263                  0.001                  0.152              
   100.000                -72.999                  0.001                  0.103              
    80.000                -70.945                  0.001                  0.071              
    60.000                -64.044                  0.001                  0.031              
    40.000                -53.347                  0.001                  0.010              
    30.000                -44.060                  0.001                  0.004              
    25.000                -26.107                  0.001                  0.001              
