  N levels =   24          CBMF=    20.706     SST=    8.38 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.299       3.533997     0.048    0.00       1.051
    950.0     1.209       3.355266     0.051    0.00       1.383
    900.0    -2.600       2.525262     0.053    0.00       1.411
    850.0    -6.132       1.759662     0.056    0.00       1.494
    800.0    -9.684       1.117731     0.057    0.00       1.618
    750.0   -13.294       0.575019     0.059    0.00       1.607
    700.0   -17.114       0.317977     0.060    0.00       1.482
    650.0   -21.476       0.175170     0.061    0.00       1.311
    600.0   -26.270       0.109331     0.063    0.00       1.091
    550.0   -31.646       0.062929     0.066    0.00       0.859
    500.0   -37.614       0.036807     0.069    0.00       0.734
    450.0   -44.341       0.051387     0.073    0.00       0.737
    400.0   -51.788       0.052189     0.077    0.00       0.606
    350.0   -60.024       0.017287     0.085    0.00       0.498
    300.0   -68.775       0.006504     0.096    0.00       0.245
    250.0   -74.065       0.003510     0.117    0.00       0.050
    200.0   -72.685       0.001000     0.153    0.00       0.026
    150.0   -73.696       0.001000     0.202    0.00       0.001
    100.0   -72.821       0.001000     0.405    0.00      -0.001
     80.0   -70.280       0.001000     0.755    0.00      -0.007
     60.0   -63.871       0.001000     2.042    0.00      -0.023
     40.0   -55.277       0.001000     5.238    0.00      -0.045
     30.0   -48.860       0.001000     8.440    0.00      -0.061
     25.0   -37.523       0.001000    10.124    0.00      -0.090
