 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.299                  3.534                  0.648              
   950.000                  1.209                  3.355                  0.818              
   900.000                 -2.600                  2.525                  0.746              
   850.000                 -6.132                  1.760                  0.674              
   800.000                 -9.684                  1.118                  0.557              
   750.000                -13.294                  0.575                  0.411              
   700.000                -17.114                  0.318                  0.294              
   650.000                -21.476                  0.175                  0.223              
   600.000                -26.270                  0.109                  0.185              
   550.000                -31.646                  0.063                  0.175              
   500.000                -37.614                  0.037                  0.216              
   450.000                -44.341                  0.051                  0.381              
   400.000                -51.788                  0.052                  0.650              
   350.000                -60.024                  0.017                  0.747              
   300.000                -68.775                  0.007                  1.008              
   250.000                -74.065                  0.004                  1.001              
   200.000                -72.685                  0.001                  0.163              
   150.000                -73.696                  0.001                  0.136              
   100.000                -72.821                  0.001                  0.085              
    80.000                -70.280                  0.001                  0.050              
    60.000                -63.871                  0.001                  0.016              
    40.000                -55.277                  0.001                  0.004              
    30.000                -48.860                  0.001                  0.002              
    25.000                -37.523                  0.001                  0.000              
