  N levels =   24          CBMF=    21.584     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.983       2.986645     0.048    0.00       0.818
    950.0    -1.115       2.826997     0.051    0.00       1.397
    900.0    -4.900       2.007310     0.053    0.00       1.425
    850.0    -8.454       1.341159     0.056    0.00       1.507
    800.0   -12.108       0.850975     0.057    0.00       1.605
    750.0   -15.899       0.485080     0.059    0.00       1.580
    700.0   -19.968       0.232441     0.060    0.00       1.476
    650.0   -24.375       0.107118     0.061    0.00       1.329
    600.0   -29.231       0.055893     0.063    0.00       1.124
    550.0   -34.628       0.024871     0.066    0.00       0.692
    500.0   -40.674       0.019536     0.069    0.00       0.532
    450.0   -47.338       0.016558     0.073    0.00       0.465
    400.0   -54.653       0.014207     0.077    0.00       0.352
    350.0   -62.736       0.013026     0.085    0.00       0.336
    300.0   -71.318       0.004445     0.096    0.00       0.046
    250.0   -74.970       0.003051     0.117    0.00       0.018
    200.0   -73.598       0.001000     0.153    0.00       0.005
    150.0   -74.152       0.001000     0.202    0.00       0.002
    100.0   -72.283       0.001000     0.405    0.00      -0.000
     80.0   -68.807       0.001000     0.755    0.00      -0.005
     60.0   -61.055       0.001000     2.042    0.00      -0.014
     40.0   -50.763       0.001000     5.238    0.00      -0.027
     30.0   -42.491       0.001000     8.440    0.00      -0.037
     25.0   -26.079       0.001000    10.124    0.00      -0.060
