  N levels =   24          CBMF=    21.571     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.967       2.983082     0.048    0.00       0.831
    950.0    -1.130       2.823373     0.051    0.00       1.400
    900.0    -4.916       2.001120     0.053    0.00       1.427
    850.0    -8.474       1.336894     0.056    0.00       1.508
    800.0   -12.131       0.841953     0.057    0.00       1.607
    750.0   -15.903       0.464075     0.059    0.00       1.584
    700.0   -19.938       0.247598     0.060    0.00       1.479
    650.0   -24.411       0.123156     0.061    0.00       1.333
    600.0   -29.289       0.058148     0.063    0.00       1.135
    550.0   -34.656       0.024998     0.066    0.00       0.705
    500.0   -40.694       0.019163     0.069    0.00       0.541
    450.0   -47.358       0.016179     0.073    0.00       0.472
    400.0   -54.672       0.013796     0.077    0.00       0.357
    350.0   -62.759       0.013314     0.085    0.00       0.344
    300.0   -71.337       0.004432     0.096    0.00       0.055
    250.0   -74.973       0.003050     0.117    0.00       0.020
    200.0   -73.603       0.001000     0.153    0.00       0.007
    150.0   -74.158       0.001000     0.202    0.00       0.002
    100.0   -72.288       0.001000     0.405    0.00      -0.000
     80.0   -68.812       0.001000     0.755    0.00      -0.005
     60.0   -61.059       0.001000     2.042    0.00      -0.014
     40.0   -50.767       0.001000     5.238    0.00      -0.027
     30.0   -42.494       0.001000     8.440    0.00      -0.037
     25.0   -26.078       0.001000    10.124    0.00      -0.060
