 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.986                  2.990                  0.625              
   950.000                 -1.111                  2.830                  0.797              
   900.000                 -4.895                  2.012                  0.728              
   850.000                 -8.451                  1.346                  0.636              
   800.000                -12.111                  0.850                  0.524              
   750.000                -15.899                  0.446                  0.384              
   700.000                -19.890                  0.220                  0.270              
   650.000                -24.325                  0.118                  0.202              
   600.000                -29.226                  0.064                  0.165              
   550.000                -34.628                  0.025                  0.131              
   500.000                -40.665                  0.020                  0.170              
   450.000                -47.330                  0.017                  0.283              
   400.000                -54.645                  0.014                  0.500              
   350.000                -62.728                  0.013                  0.952              
   300.000                -71.311                  0.004                  1.002              
   250.000                -74.967                  0.003                  1.000              
   200.000                -73.594                  0.001                  0.201              
   150.000                -74.148                  0.001                  0.164              
   100.000                -72.280                  0.001                  0.087              
    80.000                -68.804                  0.001                  0.044              
    60.000                -61.052                  0.001                  0.012              
    40.000                -50.761                  0.001                  0.002              
    30.000                -42.490                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
