 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.166                  3.037                  0.629              
   950.000                 -0.932                  2.878                  0.799              
   900.000                 -4.697                  2.054                  0.737              
   850.000                 -8.243                  1.369                  0.651              
   800.000                -11.888                  0.862                  0.538              
   750.000                -15.673                  0.452                  0.396              
   700.000                -19.641                  0.232                  0.285              
   650.000                -24.093                  0.129                  0.219              
   600.000                -29.001                  0.069                  0.187              
   550.000                -34.382                  0.026                  0.162              
   500.000                -40.410                  0.020                  0.202              
   450.000                -47.078                  0.017                  0.331              
   400.000                -54.398                  0.014                  0.566              
   350.000                -62.494                  0.014                  0.913              
   300.000                -71.097                  0.005                  1.002              
   250.000                -74.876                  0.003                  0.999              
   200.000                -73.430                  0.001                  0.198              
   150.000                -73.982                  0.001                  0.161              
   100.000                -72.155                  0.001                  0.089              
    80.000                -68.713                  0.001                  0.047              
    60.000                -60.975                  0.001                  0.014              
    40.000                -50.702                  0.001                  0.003              
    30.000                -42.452                  0.001                  0.001              
    25.000                -26.088                  0.001                  0.000              
