 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.880                  5.051                  0.670              
   950.000                  5.768                  4.882                  0.842              
   900.000                  2.271                  3.740                  0.736              
   850.000                 -1.380                  2.878                  0.688              
   800.000                 -4.719                  1.816                  0.574              
   750.000                 -8.004                  1.032                  0.421              
   700.000                -11.554                  0.549                  0.302              
   650.000                -15.438                  0.286                  0.222              
   600.000                -19.875                  0.198                  0.178              
   550.000                -25.040                  0.129                  0.166              
   500.000                -31.026                  0.108                  0.199              
   450.000                -37.930                  0.151                  0.324              
   400.000                -45.597                  0.106                  0.580              
   350.000                -53.853                  0.028                  0.673              
   300.000                -63.086                  0.015                  0.970              
   250.000                -71.810                  0.005                  1.000              
   200.000                -69.158                  0.001                  0.112              
   150.000                -70.395                  0.001                  0.094              
   100.000                -71.193                  0.001                  0.073              
    80.000                -70.706                  0.001                  0.055              
    60.000                -67.554                  0.001                  0.027              
    40.000                -63.377                  0.001                  0.010              
    30.000                -61.777                  0.001                  0.006              
    25.000                -62.138                  0.001                  0.005              
