 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 12.502                  6.323                  0.708              
   950.000                  8.376                  6.122                  0.887              
   900.000                  5.282                  4.475                  0.739              
   850.000                  1.864                  3.371                  0.683              
   800.000                 -1.531                  2.378                  0.609              
   750.000                 -4.559                  1.416                  0.511              
   700.000                 -7.932                  0.811                  0.407              
   650.000                -11.708                  0.452                  0.335              
   600.000                -16.067                  0.262                  0.299              
   550.000                -21.170                  0.176                  0.305              
   500.000                -27.083                  0.142                  0.362              
   450.000                -33.780                  0.129                  0.503              
   400.000                -41.245                  0.111                  0.731              
   350.000                -49.538                  0.056                  0.969              
   300.000                -58.872                  0.021                  1.008              
   250.000                -69.359                  0.007                  1.004              
   200.000                -68.508                  0.001                  0.215              
   150.000                -71.396                  0.001                  0.127              
   100.000                -72.371                  0.001                  0.096              
    80.000                -71.344                  0.001                  0.072              
    60.000                -66.508                  0.001                  0.036              
    40.000                -59.393                  0.001                  0.013              
    30.000                -54.636                  0.001                  0.006              
    25.000                -48.162                  0.001                  0.003              
