 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 27.179                 18.066                  0.793              
   950.000                 22.934                 17.794                  0.974              
   900.000                 21.267                 14.412                  0.839              
   850.000                 18.702                 12.385                  0.817              
   800.000                 16.303                 10.681                  0.783              
   750.000                 13.681                  9.227                  0.753              
   700.000                 10.861                  7.866                  0.722              
   650.000                  7.829                  6.517                  0.687              
   600.000                  4.557                  5.144                  0.641              
   550.000                  0.984                  3.700                  0.599              
   500.000                 -3.401                  2.601                  0.562              
   450.000                 -7.727                  1.696                  0.521              
   400.000                -13.147                  1.160                  0.484              
   350.000                -20.324                  0.958                  0.467              
   300.000                -28.300                  0.288                  0.372              
   250.000                -38.765                  0.173                  0.329              
   200.000                -51.720                  0.082                  0.427              
   150.000                -67.627                  0.016                  0.855              
   100.000                -69.204                  0.001                  0.701              
    80.000                -61.825                  0.001                  0.030              
    60.000                -53.504                  0.001                  0.011              
    40.000                -44.682                  0.001                  0.004              
    30.000                -38.448                  0.001                  0.002              
    25.000                -27.048                  0.001                  0.001              
