  N levels =   24          CBMF=    20.327     SST=    8.91 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.938       3.755592     0.048    0.00       1.025
    950.0     1.848       3.578467     0.051    0.00       1.344
    900.0    -1.923       2.774322     0.053    0.00       1.381
    850.0    -5.464       1.951975     0.056    0.00       1.468
    800.0    -9.013       1.173760     0.057    0.00       1.601
    750.0   -12.519       0.568039     0.059    0.00       1.585
    700.0   -16.370       0.261406     0.060    0.00       1.447
    650.0   -20.637       0.120153     0.061    0.00       1.284
    600.0   -25.398       0.059414     0.063    0.00       1.080
    550.0   -30.738       0.034938     0.066    0.00       0.863
    500.0   -36.691       0.022657     0.069    0.00       0.743
    450.0   -43.306       0.021384     0.073    0.00       0.730
    400.0   -50.637       0.024399     0.077    0.00       0.583
    350.0   -58.871       0.018462     0.085    0.00       0.481
    300.0   -67.858       0.007439     0.096    0.00       0.229
    250.0   -73.955       0.003568     0.117    0.00       0.059
    200.0   -72.340       0.001000     0.153    0.00       0.016
    150.0   -73.355       0.001000     0.202    0.00       0.001
    100.0   -72.550       0.001000     0.405    0.00      -0.003
     80.0   -70.042       0.001000     0.755    0.00      -0.015
     60.0   -63.652       0.001000     2.042    0.00      -0.047
     40.0   -55.096       0.001000     5.238    0.00      -0.090
     30.0   -48.739       0.001000     8.440    0.00      -0.122
     25.0   -37.539       0.001000    10.124    0.00      -0.178
