 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.938                  3.756                  0.647              
   950.000                  1.848                  3.578                  0.816              
   900.000                 -1.923                  2.774                  0.751              
   850.000                 -5.464                  1.952                  0.691              
   800.000                 -9.013                  1.174                  0.569              
   750.000                -12.519                  0.568                  0.423              
   700.000                -16.370                  0.261                  0.310              
   650.000                -20.637                  0.120                  0.247              
   600.000                -25.398                  0.059                  0.216              
   550.000                -30.738                  0.035                  0.213              
   500.000                -36.691                  0.023                  0.263              
   450.000                -43.306                  0.021                  0.448              
   400.000                -50.637                  0.024                  0.721              
   350.000                -58.871                  0.018                  0.792              
   300.000                -67.858                  0.007                  1.009              
   250.000                -73.955                  0.004                  0.999              
   200.000                -72.340                  0.001                  0.177              
   150.000                -73.355                  0.001                  0.149              
   100.000                -72.550                  0.001                  0.095              
    80.000                -70.042                  0.001                  0.058              
    60.000                -63.652                  0.001                  0.020              
    40.000                -55.096                  0.001                  0.005              
    30.000                -48.739                  0.001                  0.002              
    25.000                -37.539                  0.001                  0.001              
