  N levels =   24          CBMF=    17.763     SST=   10.30 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.522       4.251916     0.048    0.00       1.017
    950.0     3.431       4.062065     0.051    0.00       1.314
    900.0    -0.155       3.192510     0.053    0.00       1.348
    850.0    -3.522       2.231622     0.056    0.00       1.448
    800.0    -6.953       1.485211     0.057    0.00       1.595
    750.0   -10.556       0.925639     0.059    0.00       1.595
    700.0   -14.409       0.508434     0.060    0.00       1.483
    650.0   -18.600       0.269008     0.061    0.00       1.319
    600.0   -23.394       0.153757     0.063    0.00       1.105
    550.0   -28.874       0.101607     0.066    0.00       0.876
    500.0   -35.014       0.072865     0.069    0.00       0.753
    450.0   -41.635       0.046065     0.073    0.00       0.746
    400.0   -48.884       0.023954     0.077    0.00       0.629
    350.0   -57.007       0.015431     0.085    0.00       0.490
    300.0   -66.078       0.009789     0.096    0.00       0.272
    250.0   -73.413       0.003880     0.117    0.00       0.013
    200.0   -71.566       0.001000     0.153    0.00       0.014
    150.0   -72.803       0.001000     0.202    0.00      -0.001
    100.0   -72.843       0.001000     0.405    0.00      -0.000
     80.0   -71.322       0.001000     0.755    0.00      -0.003
     60.0   -66.421       0.001000     2.042    0.00      -0.011
     40.0   -59.789       0.001000     5.238    0.00      -0.022
     30.0   -55.542       0.001000     8.440    0.00      -0.029
     25.0   -49.737       0.001000    10.124    0.00      -0.040
