 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.004                  2.995                  0.635              
   950.000                 -1.093                  2.835                  0.807              
   900.000                 -4.876                  2.016                  0.730              
   850.000                 -8.430                  1.349                  0.642              
   800.000                -12.091                  0.852                  0.532              
   750.000                -15.877                  0.446                  0.393              
   700.000                -19.864                  0.221                  0.278              
   650.000                -24.301                  0.119                  0.208              
   600.000                -29.204                  0.065                  0.168              
   550.000                -34.604                  0.025                  0.137              
   500.000                -40.641                  0.020                  0.175              
   450.000                -47.306                  0.017                  0.291              
   400.000                -54.622                  0.014                  0.503              
   350.000                -62.705                  0.013                  0.913              
   300.000                -71.289                  0.004                  1.010              
   250.000                -74.959                  0.003                  1.002              
   200.000                -73.585                  0.001                  0.184              
   150.000                -74.139                  0.001                  0.147              
   100.000                -72.272                  0.001                  0.079              
    80.000                -68.797                  0.001                  0.040              
    60.000                -61.046                  0.001                  0.011              
    40.000                -50.755                  0.001                  0.002              
    30.000                -42.486                  0.001                  0.001              
    25.000                -26.080                  0.001                  0.000              
