 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.983                  2.987                  0.623              
   950.000                 -1.115                  2.827                  0.797              
   900.000                 -4.900                  2.007                  0.726              
   850.000                 -8.454                  1.341                  0.631              
   800.000                -12.108                  0.851                  0.520              
   750.000                -15.899                  0.485                  0.379              
   700.000                -19.968                  0.232                  0.265              
   650.000                -24.375                  0.107                  0.197              
   600.000                -29.231                  0.056                  0.159              
   550.000                -34.628                  0.025                  0.123              
   500.000                -40.674                  0.020                  0.160              
   450.000                -47.338                  0.017                  0.267              
   400.000                -54.653                  0.014                  0.479              
   350.000                -62.736                  0.013                  0.963              
   300.000                -71.318                  0.004                  1.001              
   250.000                -74.970                  0.003                  1.000              
   200.000                -73.598                  0.001                  0.204              
   150.000                -74.152                  0.001                  0.167              
   100.000                -72.283                  0.001                  0.087              
    80.000                -68.807                  0.001                  0.043              
    60.000                -61.055                  0.001                  0.012              
    40.000                -50.763                  0.001                  0.002              
    30.000                -42.491                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
