 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.432                  7.248                  0.699              
   950.000                 10.288                  7.057                  0.874              
   900.000                  7.332                  5.317                  0.740              
   850.000                  3.943                  4.124                  0.679              
   800.000                  0.530                  2.957                  0.587              
   750.000                 -2.930                  1.994                  0.497              
   700.000                 -6.271                  1.179                  0.371              
   650.000                 -9.878                  0.640                  0.271              
   600.000                -13.913                  0.322                  0.204              
   550.000                -18.531                  0.157                  0.173              
   500.000                -23.882                  0.080                  0.183              
   450.000                -30.122                  0.053                  0.249              
   400.000                -37.391                  0.066                  0.414              
   350.000                -45.792                  0.135                  0.690              
   300.000                -55.440                  0.041                  0.826              
   250.000                -66.043                  0.012                  0.998              
   200.000                -62.284                  0.001                  0.056              
   150.000                -63.807                  0.001                  0.045              
   100.000                -65.871                  0.001                  0.039              
    80.000                -66.603                  0.001                  0.033              
    60.000                -65.470                  0.001                  0.021              
    40.000                -64.933                  0.001                  0.013              
    30.000                -67.682                  0.001                  0.013              
    25.000                -77.306                  0.001                  0.047              
