  N levels =   24          CBMF=    16.734     SST=   12.03 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.146       4.781408     0.048    0.00       0.994
    950.0     5.040       4.622115     0.051    0.00       1.271
    900.0     1.562       3.532183     0.053    0.00       1.288
    850.0    -2.075       2.705084     0.056    0.00       1.401
    800.0    -5.455       1.716512     0.057    0.00       1.583
    750.0    -8.815       0.933884     0.059    0.00       1.612
    700.0   -12.542       0.479644     0.060    0.00       1.520
    650.0   -16.664       0.231044     0.061    0.00       1.352
    600.0   -21.273       0.108519     0.063    0.00       1.152
    550.0   -26.457       0.053720     0.066    0.00       0.906
    500.0   -32.314       0.031125     0.069    0.00       0.763
    450.0   -38.912       0.022816     0.073    0.00       0.737
    400.0   -46.300       0.020522     0.077    0.00       0.658
    350.0   -54.538       0.018347     0.085    0.00       0.495
    300.0   -63.831       0.013176     0.096    0.00       0.323
    250.0   -72.414       0.004523     0.117    0.00       0.006
    200.0   -69.973       0.001000     0.153    0.00       0.007
    150.0   -71.199       0.001000     0.202    0.00      -0.002
    100.0   -71.806       0.001000     0.405    0.00      -0.001
     80.0   -71.065       0.001000     0.755    0.00      -0.002
     60.0   -67.486       0.001000     2.042    0.00      -0.006
     40.0   -62.666       0.001000     5.238    0.00      -0.011
     30.0   -60.387       0.001000     8.440    0.00      -0.014
     25.0   -59.245       0.001000    10.124    0.00      -0.017
