 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 23.039                 13.914                  0.795              
   950.000                 18.825                 13.667                  0.975              
   900.000                 16.950                 10.677                  0.836              
   850.000                 14.309                  8.874                  0.817              
   800.000                 11.738                  7.162                  0.789              
   750.000                  9.089                  5.796                  0.765              
   700.000                  6.008                  4.769                  0.746              
   650.000                  2.516                  3.924                  0.729              
   600.000                 -1.478                  3.081                  0.709              
   550.000                 -5.269                  2.258                  0.689              
   500.000                 -9.721                  1.655                  0.669              
   450.000                -14.997                  0.992                  0.649              
   400.000                -21.201                  0.484                  0.624              
   350.000                -28.692                  0.241                  0.593              
   300.000                -37.726                  0.151                  0.545              
   250.000                -48.543                  0.077                  0.522              
   200.000                -61.706                  0.026                  0.639              
   150.000                -70.179                  0.002                  0.756              
   100.000                -65.781                  0.001                  0.553              
    80.000                -60.827                  0.001                  0.055              
    60.000                -53.639                  0.001                  0.008              
    40.000                -44.920                  0.001                  0.003              
    30.000                -38.665                  0.001                  0.001              
    25.000                -27.044                  0.001                  0.000              
