  N levels =   24          CBMF=    15.673     SST=   12.29 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.426       4.913673     0.048    0.00       1.079
    950.0     5.323       4.742764     0.051    0.00       1.317
    900.0     1.936       3.524560     0.053    0.00       1.314
    850.0    -1.619       2.676732     0.056    0.00       1.385
    800.0    -4.936       1.791261     0.057    0.00       1.551
    750.0    -8.362       1.066707     0.059    0.00       1.602
    700.0   -11.978       0.597015     0.060    0.00       1.531
    650.0   -16.104       0.340206     0.061    0.00       1.368
    600.0   -20.812       0.197043     0.063    0.00       1.159
    550.0   -26.193       0.120091     0.066    0.00       0.937
    500.0   -32.252       0.076856     0.069    0.00       0.814
    450.0   -38.895       0.045634     0.073    0.00       0.803
    400.0   -46.189       0.026572     0.077    0.00       0.777
    350.0   -54.388       0.018747     0.085    0.00       0.560
    300.0   -63.617       0.013328     0.096    0.00       0.425
    250.0   -72.192       0.004678     0.117    0.00       0.069
    200.0   -69.607       0.001000     0.153    0.00       0.021
    150.0   -70.832       0.001000     0.202    0.00      -0.008
    100.0   -71.524       0.001000     0.405    0.00      -0.005
     80.0   -70.844       0.001000     0.755    0.00      -0.008
     60.0   -67.310       0.001000     2.042    0.00      -0.019
     40.0   -62.544       0.001000     5.238    0.00      -0.035
     30.0   -60.314       0.001000     8.440    0.00      -0.043
     25.0   -59.264       0.001000    10.124    0.00      -0.047
