 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.980                  2.988                  0.645              
   950.000                 -1.117                  2.829                  0.821              
   900.000                 -4.902                  2.011                  0.734              
   850.000                 -8.457                  1.345                  0.646              
   800.000                -12.117                  0.851                  0.540              
   750.000                -15.908                  0.449                  0.408              
   700.000                -19.905                  0.217                  0.300              
   650.000                -24.331                  0.116                  0.232              
   600.000                -29.229                  0.063                  0.191              
   550.000                -34.633                  0.025                  0.156              
   500.000                -40.672                  0.020                  0.187              
   450.000                -47.337                  0.017                  0.284              
   400.000                -54.652                  0.014                  0.465              
   350.000                -62.735                  0.013                  0.861              
   300.000                -71.317                  0.004                  0.933              
   250.000                -74.969                  0.003                  0.976              
   200.000                -73.597                  0.001                  0.275              
   150.000                -74.151                  0.001                  0.171              
   100.000                -72.282                  0.001                  0.072              
    80.000                -68.806                  0.001                  0.036              
    60.000                -61.054                  0.001                  0.010              
    40.000                -50.762                  0.001                  0.002              
    30.000                -42.491                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
