  N levels =   24          CBMF=    20.959     SST=    6.98 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.573       3.147384     0.048    0.00       1.266
    950.0    -0.526       2.989276     0.051    0.00       1.543
    900.0    -4.260       2.151875     0.053    0.00       1.554
    850.0    -7.788       1.437866     0.056    0.00       1.553
    800.0   -11.399       0.905555     0.057    0.00       1.616
    750.0   -15.167       0.521967     0.059    0.00       1.585
    700.0   -19.196       0.247707     0.060    0.00       1.505
    650.0   -23.585       0.135965     0.061    0.00       1.379
    600.0   -28.452       0.058884     0.063    0.00       1.229
    550.0   -33.800       0.028698     0.066    0.00       1.011
    500.0   -39.839       0.021232     0.069    0.00       0.923
    450.0   -46.510       0.018542     0.073    0.00       0.952
    400.0   -53.836       0.015836     0.077    0.00       0.835
    350.0   -61.951       0.014827     0.085    0.00       0.732
    300.0   -70.628       0.004947     0.096    0.00       0.455
    250.0   -74.549       0.003258     0.117    0.00       0.269
    200.0   -72.745       0.001000     0.153    0.00       0.119
    150.0   -73.232       0.001000     0.202    0.00       0.030
    100.0   -71.525       0.001000     0.405    0.00      -0.004
     80.0   -68.202       0.001000     0.755    0.00      -0.012
     60.0   -60.583       0.001000     2.042    0.00      -0.031
     40.0   -50.452       0.001000     5.238    0.00      -0.057
     30.0   -42.310       0.001000     8.440    0.00      -0.077
     25.0   -26.123       0.001000    10.124    0.00      -0.118
