 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.643                  3.351                  0.625              
   950.000                  0.558                  3.176                  0.791              
   900.000                 -3.249                  2.368                  0.744              
   850.000                 -6.775                  1.623                  0.659              
   800.000                -10.377                  1.035                  0.541              
   750.000                -14.083                  0.550                  0.384              
   700.000                -17.997                  0.293                  0.269              
   650.000                -22.430                  0.140                  0.199              
   600.000                -27.235                  0.061                  0.164              
   550.000                -32.612                  0.031                  0.143              
   500.000                -38.681                  0.023                  0.172              
   450.000                -45.360                  0.019                  0.305              
   400.000                -52.634                  0.014                  0.544              
   350.000                -60.713                  0.011                  0.784              
   300.000                -69.703                  0.006                  1.000              
   250.000                -74.283                  0.003                  0.999              
   200.000                -73.087                  0.001                  0.193              
   150.000                -74.121                  0.001                  0.166              
   100.000                -73.173                  0.001                  0.099              
    80.000                -70.582                  0.001                  0.056              
    60.000                -64.134                  0.001                  0.017              
    40.000                -55.480                  0.001                  0.004              
    30.000                -48.991                  0.001                  0.001              
    25.000                -37.491                  0.001                  0.000              
