 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.983                  2.987                  0.630              
   950.000                 -1.114                  2.827                  0.805              
   900.000                 -4.900                  2.008                  0.727              
   850.000                 -8.454                  1.341                  0.636              
   800.000                -12.108                  0.851                  0.526              
   750.000                -15.899                  0.484                  0.387              
   700.000                -19.966                  0.232                  0.271              
   650.000                -24.373                  0.107                  0.201              
   600.000                -29.230                  0.056                  0.161              
   550.000                -34.627                  0.025                  0.127              
   500.000                -40.673                  0.020                  0.164              
   450.000                -47.338                  0.017                  0.274              
   400.000                -54.652                  0.014                  0.482              
   350.000                -62.735                  0.013                  0.934              
   300.000                -71.317                  0.004                  1.008              
   250.000                -74.969                  0.003                  1.001              
   200.000                -73.597                  0.001                  0.191              
   150.000                -74.152                  0.001                  0.154              
   100.000                -72.283                  0.001                  0.081              
    80.000                -68.807                  0.001                  0.040              
    60.000                -61.054                  0.001                  0.011              
    40.000                -50.762                  0.001                  0.002              
    30.000                -42.491                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
