 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.995                  4.369                  0.670              
   950.000                  3.895                  4.205                  0.843              
   900.000                  0.313                  3.161                  0.730              
   850.000                 -3.374                  2.406                  0.684              
   800.000                 -6.813                  1.477                  0.572              
   750.000                -10.184                  0.748                  0.428              
   700.000                -13.938                  0.363                  0.313              
   650.000                -18.101                  0.187                  0.240              
   600.000                -22.728                  0.092                  0.201              
   550.000                -27.949                  0.049                  0.195              
   500.000                -33.837                  0.027                  0.241              
   450.000                -40.475                  0.028                  0.393              
   400.000                -47.901                  0.053                  0.634              
   350.000                -56.233                  0.024                  0.731              
   300.000                -65.369                  0.011                  0.992              
   250.000                -73.053                  0.004                  1.000              
   200.000                -70.744                  0.001                  0.143              
   150.000                -71.947                  0.001                  0.117              
   100.000                -72.061                  0.001                  0.085              
    80.000                -70.535                  0.001                  0.057              
    60.000                -65.549                  0.001                  0.023              
    40.000                -58.809                  0.001                  0.007              
    30.000                -54.443                  0.001                  0.003              
    25.000                -48.246                  0.001                  0.001              
