 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.965                  2.983                  0.636              
   950.000                 -1.132                  2.823                  0.811              
   900.000                 -4.919                  2.001                  0.729              
   850.000                 -8.478                  1.337                  0.638              
   800.000                -12.134                  0.842                  0.530              
   750.000                -15.905                  0.465                  0.393              
   700.000                -19.944                  0.249                  0.281              
   650.000                -24.418                  0.122                  0.211              
   600.000                -29.289                  0.057                  0.169              
   550.000                -34.657                  0.025                  0.132              
   500.000                -40.695                  0.019                  0.165              
   450.000                -47.358                  0.016                  0.268              
   400.000                -54.671                  0.014                  0.462              
   350.000                -62.755                  0.013                  0.906              
   300.000                -71.339                  0.004                  0.977              
   250.000                -74.972                  0.003                  1.010              
   200.000                -73.602                  0.001                  0.214              
   150.000                -74.157                  0.001                  0.152              
   100.000                -72.288                  0.001                  0.077              
    80.000                -68.812                  0.001                  0.039              
    60.000                -61.059                  0.001                  0.010              
    40.000                -50.767                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
